id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q96-P35-Q57269-9ad48da2-0	Q96	'Mexico'@en	P35	'head of state'@en	Q57269	'Felipe Calderón'@en	Q96-P35-Q57269-9ad48da2-0-P580	Q96-P35-Q57269-9ad48da2-0		P580	'start time'@en	unknown	
Q96-P35-Q115328-4d23346f-0	Q96	'Mexico'@en	P35	'head of state'@en	Q115328	'Abelardo L. Rodríguez'@en	Q96-P35-Q115328-4d23346f-0-P805	Q96-P35-Q115328-4d23346f-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q335533-88255b72-0	Q96	'Mexico'@en	P35	'head of state'@en	Q335533	'Adolfo López Mateos'@en	Q96-P35-Q335533-88255b72-0-P805	Q96-P35-Q335533-88255b72-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q327920-04a136aa-0	Q96	'Mexico'@en	P35	'head of state'@en	Q327920	'Adolfo Ruiz Cortines'@en	Q96-P35-Q327920-04a136aa-0-P805	Q96-P35-Q327920-04a136aa-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q137865-92cf531d-0	Q96	'Mexico'@en	P35	'head of state'@en	Q137865	'Adolfo de la Huerta'@en	Q96-P35-Q137865-92cf531d-0-P805	Q96-P35-Q137865-92cf531d-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q318508-8dd02703-0	Q96	'Mexico'@en	P35	'head of state'@en	Q318508	'Andrés Manuel López Obrador'@en	Q96-P35-Q318508-8dd02703-0-P805	Q96-P35-Q318508-8dd02703-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q315633-56f5c58a-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315633	'Carlos Salinas de Gortari'@en	Q96-P35-Q315633-56f5c58a-0-P805	Q96-P35-Q315633-56f5c58a-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q380982-932c683c-0	Q96	'Mexico'@en	P35	'head of state'@en	Q380982	'Emilio Portes Gil'@en	Q96-P35-Q380982-932c683c-0-P805	Q96-P35-Q380982-932c683c-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q296741-0ddd6e11-0	Q96	'Mexico'@en	P35	'head of state'@en	Q296741	'Enrique Peña Nieto'@en	Q96-P35-Q296741-0ddd6e11-0-P805	Q96-P35-Q296741-0ddd6e11-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q298149-dbc1547b-0	Q96	'Mexico'@en	P35	'head of state'@en	Q298149	'Ernesto Zedillo'@en	Q96-P35-Q298149-dbc1547b-0-P805	Q96-P35-Q298149-dbc1547b-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q57269-9ad48da2-0	Q96	'Mexico'@en	P35	'head of state'@en	Q57269	'Felipe Calderón'@en	Q96-P35-Q57269-9ad48da2-0-P805	Q96-P35-Q57269-9ad48da2-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q216766-094aceb4-0	Q96	'Mexico'@en	P35	'head of state'@en	Q216766	'Francisco I. Madero'@en	Q96-P35-Q216766-094aceb4-0-P805	Q96-P35-Q216766-094aceb4-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q372164-6d8ccf09-0	Q96	'Mexico'@en	P35	'head of state'@en	Q372164	'Francisco S. Carvajal'@en	Q96-P35-Q372164-6d8ccf09-0-P805	Q96-P35-Q372164-6d8ccf09-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q315637-a7946a9e-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315637	'Gustavo Díaz-Ordaz Bolaños'@en	Q96-P35-Q315637-a7946a9e-0-P805	Q96-P35-Q315637-a7946a9e-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q315613-156fa9cc-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315613	'José López Portillo'@en	Q96-P35-Q315613-156fa9cc-0-P805	Q96-P35-Q315613-156fa9cc-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q317681-d56d6a88-0	Q96	'Mexico'@en	P35	'head of state'@en	Q317681	'Luis Echeverría'@en	Q96-P35-Q317681-d56d6a88-0-P805	Q96-P35-Q317681-d56d6a88-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q296718-194818d7-0	Q96	'Mexico'@en	P35	'head of state'@en	Q296718	'Lázaro Cárdenas'@en	Q96-P35-Q296718-194818d7-0-P805	Q96-P35-Q296718-194818d7-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q315626-b68fc483-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315626	'Manuel Ávila Camacho'@en	Q96-P35-Q315626-b68fc483-0-P805	Q96-P35-Q315626-b68fc483-0		P805	'statement is subject of'@en	unknown	
Q96-P35-Q315615-ae239e87-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315615	'Miguel Alemán Valdés'@en	Q96-P35-Q315615-ae239e87-0-P805	Q96-P35-Q315615-ae239e87-0		P805	'statement is subject of'@en	unknown	
