id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q155-P2936-Q2829146-98c57805-0	Q155	'Brazil'@en	P2936	P2936	Q2829146	'Acroá'@en	Q155-P2936-Q2829146-98c57805-0-P580	Q155-P2936-Q2829146-98c57805-0		P580	'start time'@en	unknown	
Q155-P2936-Q3508007-4048f129-0	Q155	'Brazil'@en	P2936	P2936	Q3508007	'Agavotaguerra'@en	Q155-P2936-Q3508007-4048f129-0-P580	Q155-P2936-Q3508007-4048f129-0		P580	'start time'@en	unknown	
Q155-P2936-Q3409307-84a8b6e0-0	Q155	'Brazil'@en	P2936	P2936	Q3409307	'Aikanã'@en	Q155-P2936-Q3409307-84a8b6e0-0-P580	Q155-P2936-Q3409307-84a8b6e0-0		P580	'start time'@en	unknown	
Q155-P2936-Q28059-6fb61870-0	Q155	'Brazil'@en	P2936	P2936	Q28059	'Akawaio'@en	Q155-P2936-Q28059-6fb61870-0-P580	Q155-P2936-Q28059-6fb61870-0		P580	'start time'@en	unknown	
Q155-P2936-Q4701960-ba7f4010-0	Q155	'Brazil'@en	P2936	P2936	Q4701960	'Akuntsu'@en	Q155-P2936-Q4701960-ba7f4010-0-P580	Q155-P2936-Q4701960-ba7f4010-0		P580	'start time'@en	unknown	
Q155-P2936-Q2669150-a29f092a-0	Q155	'Brazil'@en	P2936	P2936	Q2669150	'Amahuaca'@en	Q155-P2936-Q2669150-a29f092a-0-P580	Q155-P2936-Q2669150-a29f092a-0		P580	'start time'@en	unknown	
Q155-P2936-Q3508053-9299d565-0	Q155	'Brazil'@en	P2936	P2936	Q3508053	'Amanayé'@en	Q155-P2936-Q3508053-9299d565-0-P580	Q155-P2936-Q3508053-9299d565-0		P580	'start time'@en	unknown	
Q155-P2936-Q3915522-4fccad71-0	Q155	'Brazil'@en	P2936	P2936	Q3915522	'Amonap'@en	Q155-P2936-Q3915522-4fccad71-0-P580	Q155-P2936-Q3915522-4fccad71-0		P580	'start time'@en	unknown	
Q155-P2936-Q12626847-97c21293-0	Q155	'Brazil'@en	P2936	P2936	Q12626847	'Amundava'@en	Q155-P2936-Q12626847-97c21293-0-P580	Q155-P2936-Q12626847-97c21293-0		P580	'start time'@en	unknown	
Q155-P2936-Q3507873-d66cac0b-0	Q155	'Brazil'@en	P2936	P2936	Q3507873	'Anambé'@en	Q155-P2936-Q3507873-d66cac0b-0-P580	Q155-P2936-Q3507873-d66cac0b-0		P580	'start time'@en	unknown	
Q155-P2936-Q2736980-2402f780-0	Q155	'Brazil'@en	P2936	P2936	Q2736980	'Apalaí'@en	Q155-P2936-Q2736980-2402f780-0-P580	Q155-P2936-Q2736980-2402f780-0		P580	'start time'@en	unknown	
Q155-P2936-Q3507941-7f08339a-0	Q155	'Brazil'@en	P2936	P2936	Q3507941	'Apiaká'@en	Q155-P2936-Q3507941-7f08339a-0-P580	Q155-P2936-Q3507941-7f08339a-0		P580	'start time'@en	unknown	
Q155-P2936-Q2858311-ab472db3-0	Q155	'Brazil'@en	P2936	P2936	Q2858311	'Apinayé'@en	Q155-P2936-Q2858311-ab472db3-0-P580	Q155-P2936-Q2858311-ab472db3-0		P580	'start time'@en	unknown	
Q155-P2936-Q2859081-1b2efd23-0	Q155	'Brazil'@en	P2936	P2936	Q2859081	'Apurinã'@en	Q155-P2936-Q2859081-1b2efd23-0-P580	Q155-P2936-Q2859081-1b2efd23-0		P580	'start time'@en	unknown	
Q155-P2936-Q9627356-431b77ce-0	Q155	'Brazil'@en	P2936	P2936	Q9627356	'Arap'@en	Q155-P2936-Q9627356-431b77ce-0-P580	Q155-P2936-Q9627356-431b77ce-0		P580	'start time'@en	unknown	
Q155-P2936-Q63339949-e8c68800-0	Q155	'Brazil'@en	P2936	P2936	Q63339949	'Ararandewára'@en	Q155-P2936-Q63339949-e8c68800-0-P580	Q155-P2936-Q63339949-e8c68800-0		P580	'start time'@en	unknown	
Q155-P2936-Q4784535-b9dbd8be-0	Q155	'Brazil'@en	P2936	P2936	Q4784535	'Araweté'@en	Q155-P2936-Q4784535-b9dbd8be-0-P580	Q155-P2936-Q4784535-b9dbd8be-0		P580	'start time'@en	unknown	
Q155-P2936-Q3446640-9ae22ff2-0	Q155	'Brazil'@en	P2936	P2936	Q3446640	'Arikapú'@en	Q155-P2936-Q3446640-9ae22ff2-0-P580	Q155-P2936-Q3446640-9ae22ff2-0		P580	'start time'@en	unknown	
Q155-P2936-Q3446679-b13c19aa-0	Q155	'Brazil'@en	P2936	P2936	Q3446679	'Arikem'@en	Q155-P2936-Q3446679-b13c19aa-0-P580	Q155-P2936-Q3446679-b13c19aa-0		P580	'start time'@en	unknown	
Q155-P2936-Q56609-437a4a86-0	Q155	'Brazil'@en	P2936	P2936	Q56609	'Arutani'@en	Q155-P2936-Q56609-437a4a86-0-P580	Q155-P2936-Q56609-437a4a86-0		P580	'start time'@en	unknown	
Q155-P2936-Q3507907-efdac25e-0	Q155	'Brazil'@en	P2936	P2936	Q3507907	'Aruáshi'@en	Q155-P2936-Q3507907-efdac25e-0-P580	Q155-P2936-Q3507907-efdac25e-0		P580	'start time'@en	unknown	
Q155-P2936-Q3507932-4619ea19-0	Q155	'Brazil'@en	P2936	P2936	Q3507932	'Atorada'@en	Q155-P2936-Q3507932-4619ea19-0-P580	Q155-P2936-Q3507932-4619ea19-0		P580	'start time'@en	unknown	
Q155-P2936-Q3507995-43e975e0-0	Q155	'Brazil'@en	P2936	P2936	Q3507995	'Aurá'@en	Q155-P2936-Q3507995-43e975e0-0-P580	Q155-P2936-Q3507995-43e975e0-0		P580	'start time'@en	unknown	
Q155-P2936-Q2873230-649a6f84-0	Q155	'Brazil'@en	P2936	P2936	Q2873230	'Ava Guarani'@en	Q155-P2936-Q2873230-649a6f84-0-P580	Q155-P2936-Q2873230-649a6f84-0		P580	'start time'@en	unknown	
Q155-P2936-Q4829584-4741cb54-0	Q155	'Brazil'@en	P2936	P2936	Q4829584	'Avá-Canoeiro'@en	Q155-P2936-Q4829584-4741cb54-0-P580	Q155-P2936-Q4829584-4741cb54-0		P580	'start time'@en	unknown	
Q155-P2936-Q4830038-3afeb1be-0	Q155	'Brazil'@en	P2936	P2936	Q4830038	'Awetï'@en	Q155-P2936-Q4830038-3afeb1be-0-P580	Q155-P2936-Q4830038-3afeb1be-0		P580	'start time'@en	unknown	
Q155-P2936-Q56846-c07fe7ad-0	Q155	'Brazil'@en	P2936	P2936	Q56846	'Bakairi'@en	Q155-P2936-Q56846-c07fe7ad-0-P580	Q155-P2936-Q56846-c07fe7ad-0		P580	'start time'@en	unknown	
Q155-P2936-Q32986-4a05a7d2-0	Q155	'Brazil'@en	P2936	P2936	Q32986	'Bororo'@en	Q155-P2936-Q32986-4a05a7d2-0-P580	Q155-P2936-Q32986-4a05a7d2-0		P580	'start time'@en	unknown	
Q155-P2936-Q3436689-97e77878-0	Q155	'Brazil'@en	P2936	P2936	Q3436689	'Brazilian Sign Language'@en	Q155-P2936-Q3436689-97e77878-0-P580	Q155-P2936-Q3436689-97e77878-0		P580	'start time'@en	unknown	
Q155-P2936-Q3331506-98d22278-0	Q155	'Brazil'@en	P2936	P2936	Q3331506	'Cafundó'@en	Q155-P2936-Q3331506-98d22278-0-P580	Q155-P2936-Q3331506-98d22278-0		P580	'start time'@en	unknown	
Q155-P2936-Q2936334-05bc587e-0	Q155	'Brazil'@en	P2936	P2936	Q2936334	'Canela'@en	Q155-P2936-Q2936334-05bc587e-0-P580	Q155-P2936-Q2936334-05bc587e-0		P580	'start time'@en	unknown	
Q155-P2936-Q924405-09de1bc2-0	Q155	'Brazil'@en	P2936	P2936	Q924405	'Carapana'@en	Q155-P2936-Q924405-09de1bc2-0-P580	Q155-P2936-Q924405-09de1bc2-0		P580	'start time'@en	unknown	
Q155-P2936-Q2591230-04e56fb3-0	Q155	'Brazil'@en	P2936	P2936	Q2591230	'Cashinahua'@en	Q155-P2936-Q2591230-04e56fb3-0-P580	Q155-P2936-Q2591230-04e56fb3-0		P580	'start time'@en	unknown	
Q155-P2936-Q1844993-06e64b63-0	Q155	'Brazil'@en	P2936	P2936	Q1844993	'Chiquitano'@en	Q155-P2936-Q1844993-06e64b63-0-P580	Q155-P2936-Q1844993-06e64b63-0		P580	'start time'@en	unknown	
Q155-P2936-Q5121095-b328f199-0	Q155	'Brazil'@en	P2936	P2936	Q5121095	'Cinta Larga'@en	Q155-P2936-Q5121095-b328f199-0-P580	Q155-P2936-Q5121095-b328f199-0		P580	'start time'@en	unknown	
Q155-P2936-Q3006705-ab518668-0	Q155	'Brazil'@en	P2936	P2936	Q3006705	'Cubeo'@en	Q155-P2936-Q3006705-ab518668-0-P580	Q155-P2936-Q3006705-ab518668-0		P580	'start time'@en	unknown	
Q155-P2936-Q2475442-5ddc50c1-0	Q155	'Brazil'@en	P2936	P2936	Q2475442	'Culina'@en	Q155-P2936-Q2475442-5ddc50c1-0-P580	Q155-P2936-Q2475442-5ddc50c1-0		P580	'start time'@en	unknown	
Q155-P2936-Q2882543-d3c65489-0	Q155	'Brazil'@en	P2936	P2936	Q2882543	'Curripaco'@en	Q155-P2936-Q2882543-d3c65489-0-P580	Q155-P2936-Q2882543-d3c65489-0		P580	'start time'@en	unknown	
Q155-P2936-Q56562-cb75b806-0	Q155	'Brazil'@en	P2936	P2936	Q56562	'Deni'@en	Q155-P2936-Q56562-cb75b806-0-P580	Q155-P2936-Q56562-cb75b806-0		P580	'start time'@en	unknown	
Q155-P2936-Q962392-dddb4234-0	Q155	'Brazil'@en	P2936	P2936	Q962392	'Desano'@en	Q155-P2936-Q962392-dddb4234-0-P580	Q155-P2936-Q962392-dddb4234-0		P580	'start time'@en	unknown	
Q155-P2936-Q3042278-022ce115-0	Q155	'Brazil'@en	P2936	P2936	Q3042278	'Dâw'@en	Q155-P2936-Q3042278-022ce115-0-P580	Q155-P2936-Q3042278-022ce115-0		P580	'start time'@en	unknown	
Q155-P2936-Q3307184-af656089-0	Q155	'Brazil'@en	P2936	P2936	Q3307184	'Enawene Nawe'@en	Q155-P2936-Q3307184-af656089-0-P580	Q155-P2936-Q3307184-af656089-0		P580	'start time'@en	unknown	
Q155-P2936-Q774441-f0870e1a-0	Q155	'Brazil'@en	P2936	P2936	Q774441	'Fulniô'@en	Q155-P2936-Q774441-f0870e1a-0-P580	Q155-P2936-Q774441-f0870e1a-0		P580	'start time'@en	unknown	
Q155-P2936-Q5528335-1dc4f4b1-0	Q155	'Brazil'@en	P2936	P2936	Q5528335	'Gavião of Jiparaná'@en	Q155-P2936-Q5528335-1dc4f4b1-0-P580	Q155-P2936-Q5528335-1dc4f4b1-0		P580	'start time'@en	unknown	
Q155-P2936-Q57420736-ae77845d-0	Q155	'Brazil'@en	P2936	P2936	Q57420736	'Guajajára'@en	Q155-P2936-Q57420736-ae77845d-0-P580	Q155-P2936-Q57420736-ae77845d-0		P580	'start time'@en	unknown	
Q155-P2936-Q3915506-50844310-0	Q155	'Brazil'@en	P2936	P2936	Q3915506	'Guajá'@en	Q155-P2936-Q3915506-50844310-0-P580	Q155-P2936-Q3915506-50844310-0		P580	'start time'@en	unknown	
